AISI 316
ASTM 317L
904L
654 SMO
254 SMO
4565
Sandvik SAF 2205
ETFE
PTFE-PFA
PVDF
Glass
ECTFE
Butyl-rubber
PPL
Cast iron
Hard rubber - neoprene
Boiling point
Q
214-226
214-300
226
237
B-300-325
AISI 316 2000
904L 2000
654 SMO 2000
254 SMO 2000
