,,,Disponible en Orbinox?,No,Sí,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,Sí,No,No,No
,,Tipo de material,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Metales,Metales,Metales,Metales,Metales,Metales,Metales,Metales,Metales,Metales,No metales,No metales,No metales
,,Material,Plástico ABS,Acetal (Delrin),CPVC,Epoxy,Hytrel,LDPE,Noryl,Nylon,Policarbonato,Polipropileno,PPS (Ryton),PTFE (Teflón),PVC,PVDF (Kynar),Buna N (nitrilo),EPDM,Hypalón,Kel-F,Goma natural,Neopreno,Silicona,Tygón,Vitón,Acero inoxidable 304,Acero inoxidable 316,Aluminio,Latón,Bronce,Carpenter 20,Fundición hierro,Cobre,Hastelloy C,Titanio,"Carbón, grafito",Cerámica Al2O3,Cerámica magnética
,Productos alimenticios,Jugo de caña,,,2,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Disulfuro de carbono,,1,,1,1,1,,1,,,,,,2,,,,,,,,,1,1,,,,,,,,,,,,
,Gases,Dióxido de carbono,,,,1,,1,1,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,
,Gases,Hielo seco (dióxido de carbono sólido),,,,1,1,1,1,1,,2,,,2,,,,,,,,,,,,1,1,,,,,,,,,,
,Gases,Monóxido de carbono,,,2,1,,2,2,1,,,,,2,,,,,1,,,2,,,,,,,,,,,,,,,
,Solventes orgánicos,Tetracloruro de carbono,,1,,1,,,,,,,,,,2,,,,1,,,,,,,,,,2,,,,1,,,,
,Solventes orgánicos,Tetracloruro de carbono (seco),,,,,,,,,,,2,,,2,1,1,,,,,,,2,,2,,1,2,,,,,2,2,,
,Solventes orgánicos,Tetracloruro de carbono (húmedo),,1,,,,,,,,,2,,,2,,,,1,,,,,,2,2,,1,2,,,,,2,2,,
,Otros inorgánicos,Agua carbonatada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido carbónico,,1,,2,,2,1,1,1,,,,2,,,,,,,,,,,1,,1,,,,,,2,1,,,
,Productos alimenticios,Salsa de tomate (ketchup / catsup),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Productos alimenticios,Cerveza,2,1,2,2,1,2,1,1,2,1,2,,2,,,,,,,,,,,,,,,1,,,,1,,,,
,Productos alimenticios,Levaduras cerveceras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido ciánico,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,Hidrocarburos,Ciclohexano,,1,,2,1,1,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,
,Aldehídos y cetonas,Ciclohexanona,,,,,,,,,,,,,,,,,,1,,,,,,1,2,,,,,,,1,,,,
,Aceites y grasas,Aceite cítrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido cítrico,,1,2,1,1,,1,1,1,,,,2,,,,,2,,,,,,1,2,,,,,,,,2,,,
,Ácidos,Ácido clórico,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,1,,,2,,,,
,Resinas,Cola clorinada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros inorgánicos,Agua clorada,,,2,1,,1,1,1,,,,,2,,,,,,,,,,,,,,,,2,,,2,,,,
,Gases,Cloro anhidro,,1,,1,,,1,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,
,Gases,Cloro seco,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,2,,,,
,Ácidos,Ácido cloroacético,,,,1,,,,,,1,,,1,1,,,,2,,,,,,1,1,,,,1,,,1,1,,,
,Solventes orgánicos,Clorobenceno (monoclorobenceno),,,,1,,1,,,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,
,Solventes orgánicos,Clorobromometano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Cloroformo,,,,1,,1,,,,1,,1,,,,,,1,,,,,,,,1,1,,,,,1,2,,,
,Ácidos,Ácido clorosulfónico,,,,1,,,,,1,,,,,,,,,2,,,,,,,2,,,,,,,1,,,,
,Sales,Clorox (hipoclorito de sodio),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Cianuro de cobre,,,,1,,2,1,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,
,Sales,Cloruro de cobre,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
,Sales,Fluoborato de cobre,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Nitrato de cobre,,,,1,,2,1,,,,,,2,,,,,,,,,,,,2,,,,,,,2,,,,
,Sales,Sulfato de cobre (5%),,,,,1,2,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Sulfato de cobre (>5%),,,,,1,2,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Resinas,"Cola (cola blanca, cola fría) (acetato de polivinilo PVA)",,,,,,1,,1,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,
,Aceites y grasas,Crema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros orgánicos,Cresoles,,,,1,,1,,,,,,,,2,,,,1,,,,,,2,,,,,2,,,2,,,,
,Otros orgánicos,Ácido cresílico (mezcla de cresoles),,,,,,1,,,,1,,,,1,,,,,,,,,,1,,2,,,,,,1,1,,,
,Ácidos,Ácido crómico (5%),,,,,,,1,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,
,Ácidos,Ácido crómico (10%),,,2,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido crómico (30%),,,1,,,,,,,,,,1,2,,,,,,,,,,2,2,,,,,,,,,,,
,Ácidos,Ácido crómico (50%),,,,,,,,,,,1,,,2,,,,2,,,,,,,2,,,,,,,,2,1,,
,Sales,Sales de cromo,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácudo cúprico,,,,2,,1,2,,1,2,,,2,,2,2,,2,2,2,1,2,2,,2,,,,,,,1,2,2,,
,Productos alimenticios,Licores de curtido,,,1,,,1,2,1,,1,,,1,,1,,,,,,,,,2,2,,,2,,,,,,,,
,Otros orgánicos,Detergentes,,1,,1,,,1,1,1,,,,,,,,,,,,,,,1,1,,,,2,,,,2,,,
,Solventes orgánicos,Diclorobenceno,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,,1,,2,,
,Solventes orgánicos,Dicloroetano,,1,,,,1,1,1,,,,1,,,,,,2,,,,,,,,1,,,,,,,1,,,
,Hidrocarburos,Diesel (carburante),,,1,,,1,,,2,1,,,1,,,,,1,,,,,,1,1,1,1,,,,,,,,,
,Aminas y nitrogenados,Dietilamina,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alcoholes,Dietilenglicol,,1,1,,,2,1,1,1,2,,2,1,,2,2,,,1,2,1,1,2,1,,1,,,,,,1,1,2,,
,Solventes orgánicos,Bifenilo,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,
,Solventes orgánicos,Óxido de difenilo,,,,,,,,,,,,1,,2,,,,,,,,,,1,,1,,,,,,1,1,,,
,Aminas y nitrogenados,Dimetilanilina,,,,1,,,,,,,,,,1,,2,,2,,,,,,2,2,2,,,,,,2,2,2,,
,Solventes orgánicos,Dimetilformamida (DMF),,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,Productos alimenticios,Aderezos alimentarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Sulfato de magnesio (sales de Epsom),2,,1,,,2,1,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,
,Sales,Cloruro de estaño (SnCl4),,,2,,,2,1,1,1,,,,2,,,,1,,,1,,,,,,,,,,,,,,,,
,Sales,Fluoborato de estaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Cloruro estannoso (SnCl2),,,2,,,2,2,1,,,1,,1,,,,1,,,1,,,,2,2,,,1,,,,,,,,
,Sales,Sales de estaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido esteárico,,,2,,,1,,2,1,2,,,2,,,,,,,1,,,1,,,,,,,,,,,,,
,Hidrocarburos,Estireno,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Etano,,1,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,
,Aminas y nitrogenados,Etanolamina,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Acetato de etilo,,,,,,,1,2,,1,,,,,,,,1,,,,,,,,2,,,,,,,1,,,
,Solventes orgánicos,Benzoato de etilo,,,,,,2,2,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
,Anhídridos y halogenuros,Cloruro de etilo,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,Solventes orgánicos,Éter etílico (dietileter),,1,,,,,,1,,,,,,1,,,,,,,,,,1,2,1,1,1,,,,1,1,2,,
,Sales,Sulfato de etilo,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anhídridos y halogenuros,Bromuro de etileno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anhídridos y halogenuros,Clorhidrina de etileno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anhídridos y halogenuros,Cloruro de etileno,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,
,Aminas y nitrogenados,Etilendiamina,,,,1,,,,,2,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
,Solventes orgánicos,Dicloruro de etileno,,1,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
,Alcoholes,Etilenglicol,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,
,Gases,Óxido de etileno,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Fenol (10%),,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Fenol (ácido carbólico),,,1,1,,,,,,2,,,,1,,,,,,,,,,,1,,,,,,,,,,,
,Sales,Cloruro de hierro (cloruro férrico FeCl3),,,,,,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,2,,,,
,Sales,Nitrato de hierro,2,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,Sales,Sulfato de hierro (sulfato férrico Fe(SO4)3),2,,,,,2,2,1,1,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,
,Sales,Cloruro de hierro (cloruro ferroso FeCl2),2,,,,,2,2,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,
,Sales,Sulfato de hierro (sulfato ferroso FeSO4),1,,,,,2,2,,1,,,,,,2,,,,,,,,,,,1,1,,,,,,1,,,
,Ácidos,Ácido fluobórico,2,1,2,,,2,1,,,,,,,1,,2,,,,,,,,,,,,1,,,,1,,,,
,Gases,Flúor,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,
,Ácidos,Ácido fluosilícico,2,1,,,,2,2,,1,,,,,1,,2,,,,,,,1,,,,1,2,,,,,,,,
,Aldehídos y cetonas,Formaldehido (40%),2,2,2,2,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,2,,,,,
,Aldehídos y cetonas,Formaldehido (100%),,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,
,Ácidos,Ácido fórmico,,2,2,1,,,,,1,1,,,1,,,,1,1,,,,,,1,1,,,,,,,,1,,,
,Ácidos,Ácido fosfórico (<40%),,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,
,Ácidos,Ácido fosfórico (>40%),,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,
,Ácidos,Ácido fosfórico (bruto),,,,,,1,,1,,2,,,2,,,,,,,,,,,,,,,,,,,2,,,,
,Ácidos,Ácido fosfórico (disuelto),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anhídridos y halogenuros,Anhídrido fosfórico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido fosforoso,,,1,,,,,,,,,2,1,1,,,,,,,,1,,2,2,,,2,,,,2,,,,
,Anhídridos y halogenuros,Triocloruro de fósforo,,,,1,,,,,,,,2,,2,,1,,2,,,,,1,1,2,,,,,,,2,,,,
,Otros inorgánicos,Soluciones fotográficas,,,,2,,,1,1,1,2,2,2,,2,,1,1,2,,1,,2,1,,,,,2,,,,2,1,2,,
,Otros inorgánicos,Revelador fotográfico,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gases,Freón 11,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Gases,Freón 12,1,,2,2,,1,,1,,2,,,2,,,,,,,,,,,1,,1,1,,,,,,,,,
,Gases,Freón 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gases,Freón 113,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gases,Freón TF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido ftálico,,,,,,2,,1,,,,2,,2,,1,2,,,,1,,1,2,,2,,2,,,,2,,1,,
,Anhídridos y halogenuros,Anhídrido ftálico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Fuel oil,,,,1,,,,1,1,,,,2,,,,,,,,,,,,,1,,,,,,1,,,,
,Resinas,Resina de furano,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,
,Aldehídos y cetonas,Furfural,,,,1,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,
,Ácidos,Ácido gálico,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
,Hidrocarburos,Gasolina (aromática),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Gasolina (sin plomo),,,,2,,,,2,2,1,,,2,,1,,,2,,,,,1,1,2,2,,2,,,,,,2,,
,Productos alimenticios,Gelatina,,,2,,,2,2,1,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,
,Alcoholes,Glicerina,,,,,,1,,1,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,
,Ácidos,Ácido glicólico,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Productos alimenticios,Glucosa,,,2,,,2,2,,1,,,,2,,,,,,,,,,,1,,,,,,,,,,,,
,Aceites y grasas,Grasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácidos grasos,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Heptano,,,,,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Otros orgánicos,Herbicidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Hexano,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Aminas y nitrogenados,Hidrazina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido bromhídrico (20%),,,,1,,2,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido bromhídrico (100%),,,2,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido cianhídrico,,,,,,2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,Gases,Gas cianhídrico (10%),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido clorhídrico (20%),,,2,1,,2,,,1,,,,2,,,,,,,,,1,,,,,,,,,,1,,,,
,Ácidos,Ácido clorhídrico (37%),,,2,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,Ácidos,Ácido clorhídrico (100%),,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,
,Gases,Cloruro de hidrógeno (gas seco),,,,,,2,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido fluorhídrico (20%),,,1,,,2,1,1,,2,,,,,,,,,1,,,,,,,,,2,,,,,,,,
,Ácidos,Ácido fluorhídrico (50%),,,1,2,,1,,,,2,,,1,,,,,,1,,,,,,,,,2,,,,,,,,
,Ácidos,Ácido fluorhídrico (75%),,,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
,Ácidos,Ácido fluorhídrico (100%),,,1,,,,,,,1,,,,,,,,,,,,,,1,1,,,1,,,,,,,,
,Ácidos,Ácido fluosilícico (20%),,,,1,,2,2,,,,,,2,,,,,,,,,,,2,1,,,2,,,,,,,,
,Ácidos,Ácido fluosilícico (100%),,,,1,,1,2,,,,1,,1,1,,,,,,,,,,,,,,2,,,,,,,,
,Gases,Hidrógeno (gas),,,2,,,2,1,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Peróxido de hidrógeno (10%),,,,1,,,2,1,2,,,,1,,,,,,,,,,,2,,,,1,,,,,,,,
,Ácidos,Peróxido de hidrógeno (30%),,,,,,2,2,,2,1,1,,1,,,,,,,,,,,2,,,,1,,,,,1,,,
,Ácidos,Peróxido de hidrógeno (50%),,,,,,2,,,2,1,,,1,1,,,,,,,,,,2,2,,,1,,,,,,,,
,Ácidos,Peróxido de hidrógeno (100%),,,,,,2,,,,1,,,,1,,,,,,,,,,2,2,,,1,,,,,,,,
,Ácidos,Ácido sulfhídrico (acuoso),,,,,,,1,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,
,Gases,Sulfuro de hidrógeno (seco),,,,,,,,1,,1,,,2,,,,,,,,,,,1,,,,,,,,,,,,
,Otros inorgánicos,Hidroquinona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido glicólico (70%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros orgánicos,Yodoformo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros inorgánicos,Yodina,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
,Otros inorgánicos,Yodina (en alcohol) (tintura de yodo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Isooctano,,,,2,,,,1,1,2,,,1,2,2,,,1,1,1,,1,1,1,1,1,,1,,,,,,2,,
,Solventes orgánicos,Acetato de isopropilo,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
,Solventes orgánicos,Éter isopropílico,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Isotano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Productos alimenticios,Soluciones jabonosas,,,,,,,1,1,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
,Hidrocarburos,"Jet fuel (JP3, JP4, JP5)",,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Keroseno,,2,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Aldehídos y cetonas,Cetonas,,,,,,1,,2,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Diluyentes para laca,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,Resinas,Goma laca blanqueada,,,,,,1,,1,,,,,,,2,2,,,1,2,,,,,,,,,,,,,,,,
,Resinas,Goma laca naranja,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido láctico,,,1,1,,1,,,,,,,1,1,,,,1,,,,,,1,1,,,2,,,,1,,,,
,Resinas,Látex,,,,,,,,1,,2,,,,,,,,,,,,,,2,2,,,,,,,,,,,
,Productos alimenticios,Leche,,,,,,,2,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,
,Bases,"Hidróxido de potasio (lejía de potasio, potasa cáustica)",,,,,,,1,1,,,,,,,1,2,,,,,,,,,1,,,,,2,,1,,,,
,Bases,Hidróxido de sodia (lejía de soda cáustica),,,,,,,,,,,,,,,1,1,,,1,2,1,,1,,1,,,,,,,,,,,
,Bases,Hidróxido de calcio (lejía de cal),,,2,1,1,2,2,2,,2,,,2,2,,,,2,2,,,2,1,1,,1,,,,,,1,,,,
,Otros inorgánicos,Licores blancos (molino de pasta),,,,,,2,1,1,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Ligroína,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido linoleico,,,2,,,,,,,1,,,2,2,1,,,,,,1,2,1,,,2,,,,,,,,2,,
,Sales,Cloruro de litio,,,2,,,2,,,1,2,,,,2,2,1,,,1,1,1,2,1,1,2,,,2,,,,,,2,,
,Bases,Hidróxido de litio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Lubricantes,,,,,,,1,1,1,1,,,2,,,,,,,,,,,2,2,2,,2,,,,,,,,
,Sales,Bisulfato de magnesio,,,,,,,,1,1,2,,,2,,,,,,2,,,2,,1,1,,,1,,,,,,1,,
,Sales,Carbonato de magnesio,,,2,,,,2,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
,Sales,Cloruro de magnesio,,1,,,,1,1,1,2,2,1,,,,2,,2,,,,,,2,,,,,,,,2,2,2,2,2,
,Bases,Hidróxido de magnesio,,,,,,2,2,1,1,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,
,Sales,Nitrato de magnesio,,,,,,2,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Bases,Óxido de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido maléico,,,,,,2,1,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,
,Anhídridos y halogenuros,Anhídrido maleico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido málico,,,,,,2,,,,1,,,2,,,,,,,,,,,,2,1,,2,,,,,,,,
,Productos alimenticios,Malta (mojada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Sulfato de manganeso,2,1,,,,1,2,2,1,,2,,,2,2,2,,1,2,2,1,1,2,,2,1,,2,,,,2,2,2,,
,Productos alimenticios,Suero de mantequilla,,,1,1,,1,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,
,Productos alimenticios,Mayonesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resinas,Melamina,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Productos alimenticios,Melazas,,,,,,,2,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
,Otros inorgánicos,Mercurio,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,Sales,Cianuro de mercurio,,,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
,Sales,Cloruro de mercurio (diluido),,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
,Sales,Nitrato de mercurio,2,,2,,,,2,,2,,,,,,1,1,,,1,1,,2,1,1,1,,,,,,,1,1,,,
,Hidrocarburos,Metano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Acetato de metilo,,,,,,1,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,Aldehídos y cetonas,Acetona de metilo,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Acrilato de metilo,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,Alcoholes,Alcohol metílico (10%),,,,1,,1,2,1,1,2,,,1,,,,,2,,,,1,,,,1,,,,,,,,,,
,Anhídridos y halogenuros,Bromuro de metilo,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,Aldehídos y cetonas,MBK (metil butil cetona),,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Alcoholes,Metil (Cellosolve),,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,
,Anhídridos y halogenuros,Cloruro de metilo,,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,,2,,,,,,,,
,Solventes orgánicos,Dicloruro de metileno,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,Aldehídos y cetonas,MEK (metil etil cetona),,,,1,,2,,1,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,
,Ácidos,MEKP (peróxido de metil etil cetona),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aldehídos y cetonas,MIBK (metil isobutil cetona),,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Aldehídos y cetonas,Metil isopropil cetona,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Metacrilato de metilo,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,Aminas y nitrogenados,Metilamina,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,2,,,,,,2,,
,Solventes orgánicos,Cloruro de metileno,,,,,,,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,
,Productos alimenticios,Miel,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros inorgánicos,Licores minerales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido monocloroacético,,,,,,,,,,,,2,,1,,,2,2,,1,,,,1,1,,,1,,,,2,2,2,,
,Aminas y nitrogenados,Monoetanolamina,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,Aminas y nitrogenados,Morfolina,,,,,,,,2,,2,,2,,1,,,,,1,,,,,,1,1,,,,,,1,,1,,
,Aceites y grasas,Aceite de motor,,,,,,1,,2,,1,,,,,,,,2,,1,,2,,1,2,1,,1,,,,,1,2,,
,Hidrocarburos,Nafta,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Naftalina,,,,,,,,1,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,
,Hidrocarburos,Gas natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Cloruro de níquel,,,,,,,1,1,2,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,
,Sales,Nitrato de níquel,,,2,1,,,2,1,,2,,2,,2,1,2,,2,1,2,,2,2,,2,,,2,,,,2,,,,
,Sales,Sulfato de níquel,,,,,,,1,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,
,Ácidos,Ácido nitratador (<1% ácido),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido nitratador (<15% SO4H2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
