,,,Disponible en Orbinox?,No,Sí,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,Sí,No,No,No
,,Tipo de material,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Plásticos,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Elastómeros,Metales,Metales,Metales,Metales,Metales,Metales,Metales,Metales,Metales,Metales,No metales,No metales,No metales
,,Material,Plástico ABS,Acetal (Delrin),CPVC,Epoxy,Hytrel,LDPE,Noryl,Nylon,Policarbonato,Polipropileno,PPS (Ryton),PTFE (Teflón),PVC,PVDF (Kynar),Buna N (nitrilo),EPDM,Hypalón,Kel-F,Goma natural,Neopreno,Silicona,Tygón,Vitón,Acero inoxidable 304,Acero inoxidable 316,Aluminio,Latón,Bronce,Carpenter 20,Fundición hierro,Cobre,Hastelloy C,Titanio,"Carbón, grafito",Cerámica Al2O3,Cerámica magnética
,Anhídridos y halogenuros,Bromuro de acetilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anhídridos y halogenuros,Cloruro de acetilo,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Acetileno,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,
,Aldehídos y cetonas,Acetona,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aminas y nitrogenados,Acrilonitrilo,,,,,,,,1,,1,,,1,1,,,,,1,,,,,1,1,1,,,1,1,,,,,,
,Ácidos,Ácido adípico,,,2,,,,,,,2,,,2,2,,2,,,1,,,2,2,1,2,,,,,,,,,2,,
,Otros inorgánicos,Agua ácida de mina,,1,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros inorgánicos,Agua blanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros inorgánicos,Agua de mar,,,,,,2,1,2,2,,,,2,,2,2,,,1,2,1,,,,,,,,,,,,,,,
,Otros inorgánicos,Agua desionizada,,,,2,,,2,1,,2,,2,2,2,1,1,2,1,,,,2,1,,2,2,,,,,,2,2,2,,
,Otros inorgánicos,Agua destilada,,,,,,2,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,"Agua Regia (80% HCI, 20% HNO3)",,,1,,,1,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,1,,,
,Otros inorgánicos,Agua salada,,,,,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alcoholes,Amyl (alcohol),,,2,,,2,,1,1,1,,,2,,,,,,,,,2,,,,,,,,,,,,,,
,Alcoholes,Benzil (alcohol),,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alcoholes,Butil (alcohol),1,,2,,,,,,2,,,,2,,,,,,,,,2,,,,,,,,,,,,,,
,Alcoholes,Diacetona (alcohol),,,,,,1,,1,,2,,,,,,,,1,,,,1,,1,,1,,,,,,,,,,
,Alcoholes,Etil (alcohol),1,1,,2,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alcoholes,Hexil (alcohol),,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,
,Alcoholes,Isobutil (alcohol),,,,,,2,,1,,1,,2,1,,,,,,,,,1,,,,,,,,,,,,,,
,Alcoholes,Isopropil (alcohol),,,,,,2,1,,2,2,,2,1,,,,,,,,,1,,,,,,,,,,,,,,
,Alcoholes,Metil (alcohol),,,,1,,1,,1,1,2,,,1,,,,,1,,,,1,,,,1,,,,,1,,,,,
,Alcoholes,Octil (alcohol),1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alcoholes,Propil (alcohol),1,,2,,,2,2,,,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,
,Productos alimenticios,Almidón,,,,,,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Cloruro de aluminio,1,,,1,,2,,1,1,,,,2,,,,,,,,,2,,,,,,,1,,,,,,,
,Sales,Cloruro de aluminio (20%),,,,1,,2,,,1,,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,
,Sales,Fluoruro de aluminio,,,,1,,2,1,1,,,,,2,,,,,,,,,2,,,,1,,,,,,,,,,
,Bases,Hidróxido de aluminio,,,,1,,2,,1,1,,,,2,,,,2,1,,,,2,,1,1,1,,,1,,,,1,,,
,Sales,Nitrato de aluminio,,1,,2,,2,,1,1,2,,,2,2,2,2,2,1,1,1,1,2,2,,,,,,,,,,,2,,
,Sales,Sulfato de aluminio y potasio (10%),,,,1,,2,2,,1,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,
,Sales,Sulfato de aluminio y potasio (100%),,,,1,,2,2,,2,,,,2,,,,,,,,,2,,,2,,,,,,,,,,,
,Sales,Sulfato de aluminio,2,1,2,2,1,2,,2,,,,,2,,,,,,,,,2,,,2,1,1,,,,2,,,,,
,Sales,Alumbres,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
,Aminas y nitrogenados,Aminas,,,,2,1,1,,,,2,,2,,,,,,,,,,,,,,,1,,,,,,,,,
,Aminas y nitrogenados,Amoníaco (10%),,,,2,,1,1,,,2,1,,1,,,,,,,,,1,,,,2,,,1,,,,,,,
,Aminas y nitrogenados,Amoníaco anhidro,,,1,,,2,1,1,,,1,,2,,,,,,,,,2,,,2,1,,,,,,,,,,
,Aminas y nitrogenados,Amoníaco líquido,,,,1,,1,,1,,2,1,,1,,,,,,,,,2,,2,2,,,,2,,,,,,,
,Sales,Nitrato de amoníaco,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Acetato de amonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Bifluoruro de amonio,2,,,1,,2,,,,,,,2,,,2,,,,,,2,,,1,,,,,,,,,,,
,Sales,Carbonato de amonio,2,,,2,,2,2,1,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,
,Productos alimenticios,Caseinato de amonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Cloruro de amonio,2,,2,1,1,2,,,2,,,,2,,,,,,,,,2,,,2,1,,,,,,,,,,
,Sales,Fosfato dibásico de amonio,2,2,,1,,2,,1,2,,,2,2,,,,,,,,,2,,,,1,1,,1,,,,,,,
,Sales,Fosfato monobásico de amonio,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Fosfato tribásico de amonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bases,Hidróxido de amonio,,,,1,,1,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,
,Sales,Nitrato de amonio,,2,2,2,1,1,,1,,,,,2,,,,,,,,,2,,1,,1,,,,,,,,,,
,Sales,Oxalato de amonio,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Persulfato de amonio,2,,,1,,2,1,,,,,1,2,1,,,,,,,,2,,,,,,,,,,,,,,
,Sales,Sulfato de amonio,2,1,,2,1,1,,1,2,,,,2,,,,,,,,,2,,,,1,,,,,,,,,,
,Sales,Sulfito de amonio,,,,,1,2,2,1,,2,,2,2,,1,1,2,2,2,1,,2,,,,,,,,,,,,,,
,Sales,Tiosulfato de amonio,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Acetato de amilo,,1,,2,1,1,,2,,1,,,,2,,,,1,,,,,,1,,,,,,,,,,,,
,Alcoholes,Alcohol amílico,1,,2,2,1,2,,1,,1,,,2,,,,,,,,,,,,,,1,,,,,,,,,
,Solventes orgánicos,Cloruro de amilo,,,,1,,,,1,,,,,,,,,,,,,,,1,2,2,1,,,2,,,1,,,,
,Aminas y nitrogenados,Anilina,,1,2,,,,,2,,1,,,1,1,,,,2,,,,,,,,,,,,,,,,,,
,Aminas y nitrogenados,Clorhidrato de anilina,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,
,Alcoholes,Anticongelante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros inorgánicos,Triocloruro de antimonio,2,,2,,,2,2,,2,,,,2,,,1,,,,,,,2,,,,,,,,,,,,,
,Otros inorgánicos,Aroclor 1248 (PCB),,,,2,1,1,,1,,,,,,,1,,,1,,,,,,,,,1,,,,,,1,,,
,Hidrocarburos,Hidrocarburos aromáticos,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido arsénico,2,,1,2,,2,1,1,1,,,,1,,2,2,,,,,,,2,2,2,,,,1,,,,,,,
,Sales,Sales de arsénico,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Asfalto,,2,2,,1,1,,,,1,,1,2,,,,,,,,,,,,,,1,1,,,,,,,,
,Productos alimenticios,Azúcar de remolacha,,,2,1,,1,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,
,Productos alimenticios,Azúcar,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros inorgánicos,Cloruro de azufre,,,1,,,1,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,Gases,Dióxido de azufre,,,2,1,,1,,1,,1,,,1,,,2,,,,,,,,,1,,,,,,,,,,,
,Gases,Dióxido de azufre (seco),,,2,1,,1,,1,1,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,
,Gases,Hexafluoruro de azufre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gases,Trióxido de azufre,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
,Gases,Trióxido de azufre (seco),,,,,,1,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño electrolítico de antimonio 55º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño electrolítico de arsénico 44º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de bronce cobre-cadmio (temperatura ambiente),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de bronce cobre-estaño 71º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de bronce cobre-zinc 38º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de cadmio (cianuro) 32º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño crómico-sulfúrico 55º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de fluoruro 55º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de fluosilicato 35º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño (cianuro) golpe de cobre 50º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de cobre (cianuro) alta velocidad 82º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de cobre (cianuro) Sal de Rochelle 66º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño (ácido) fluoborato de cobre 50º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño (ácido) sulfato de cobre (temperatura ambiente),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de pirofosfato de cobre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño autocatalítico de cobre (electroless),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño ácido de oro 24º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño cianurado de oro 24º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño neutro de oro 24º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de sulfamato de indio (temperatura ambiente),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de hierro Am (sulfato ferroso) 65º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de cloruro ferroso 88º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de sulfato ferroso 65º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de fluoborato de hierro 63º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de sulfamato de hierro 60º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de cloruro-sulfamato de hierro 71º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de fluoborato de plomo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño autocatalítico de níquel (electroless) 93º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de fluoborato de níquel 38º-77º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de cloruro de níquel 55º-71º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de sulfamato de níquel 38º-60º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de niquel tipo Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de rodio 50º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de plata 27º-49º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de fluoborato de estaño 38º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño de estaño-plomo 38º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño (ácido) cloruro de zinc 60º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño (ácido) fluoborato de zinc (temperatura ambiente),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño (ácido) sulfato de zinc 66º C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baños de recubrimiento,Baño cianuro alcalino de zinc (temperatura ambiente),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Carbonato de bario,2,,2,2,,2,2,1,2,,2,,2,,2,,,,,,,,,1,,,1,,1,,,,,,,
,Sales,Cianuro de bario,,,,,,,,1,,,,1,,,,,,,,,,,,1,2,1,1,,1,1,,,,,,
,Sales,Cloruro de bario,2,,1,2,1,1,,,,,,,1,,,,,,,,,,,1,1,,1,1,,,1,,,,,
,Bases,Hidróxido de bario,2,,2,2,1,2,2,1,,,,,2,,,,,,,,,,,1,,,,,1,,,,,,,
,Sales,Nitrato de bario,,2,,1,,2,,1,,,,1,,,2,,,,,,,,,1,,,,,,,,,,,,
,Sales,Sulfato de bario,2,2,1,2,,2,1,1,,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
,Sales,Sulfuro de bario,2,,2,2,,2,2,1,,,,,2,,,,,,,,,,,1,2,,,,1,,,,,,,
,Resinas,Barniz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Benceno,,1,,1,,1,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido bencenosulfónico,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aldehídos y cetonas,Benzaldehído,,,,,,1,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,
,Anhídridos y halogenuros,Cloruro de bencilo,,,,,,,,2,,1,,,,,,,,,,,,,2,1,1,,,,,,,,,1,,
,Ácidos,Ácido benzoico,,,1,1,,1,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,1,,,,
,Hidrocarburos,Benzol,,,,1,,1,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,
,Aminas y nitrogenados,Benzonitrilo,,,,,,,,,1,,,2,,,,,,2,,,1,,,,,,,,,,,,,,,
,Otros inorgánicos,Licores de blanqueamiento,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Bórax,,,,1,1,2,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,
,Ácidos,Ácido bórico,,,,1,1,2,1,,,,,,2,,,,,,,,,,,2,1,,,,2,,,,,,,
,Otros inorgánicos,Bromo,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
