1.02218, 146.45822
3.44840, 142.47080
5.63217, 139.09845
7.81612, 135.96208
10.00014, 132.90438
12.18410, 129.76801
14.36868, 127.41828
16.55364, 125.54052
18.73866, 123.74142
20.92381, 122.09965
23.10921, 120.77253
25.29492, 119.83872
27.48063, 118.90491
29.18044, 117.95312
31.60898, 116.87884
34.11861, 115.94654
37.68070, 114.66514
39.86632, 113.61334
42.05190, 112.52220
44.23736, 111.27375
46.51392, 110.01588
48.60828, 108.77683
50.79330, 106.97773
52.97770, 104.39201
55.16197, 101.64896
57.34630, 98.98457
59.53176, 97.73611
61.71697, 96.17300
63.90074, 92.80065
66.08432, 89.19230
68.26784, 85.50530
70.45167, 82.21161
72.57419, 78.19001
74.88527, 75.22407
77.00072, 69.26269
79.06199, 64.59184
81.36529, 58.78712
82.69629, 52.30786
83.66298, 45.94068
84.75079, 39.13159
85.83888, 32.67649
86.80549, 26.22081
88.09566, 19.30450
88.49431, 11.44994
89.58124, 3.54350
