1.44504, 117.05095
4.30043, 112.40394
6.97878, 109.01359
10.00663, 99.97265
13.22137, 96.39903
16.43822, 94.26097
19.65521, 92.21454
22.87336, 90.96225
26.09253, 90.41247
29.31135, 89.61833
32.52901, 88.03006
35.74653, 86.35015
38.96360, 84.36481
42.18023, 82.07403
45.39591, 79.14183
48.39640, 75.84311
55.85821, 68.61734
58.97197, 65.88586
62.18488, 61.05995
65.04113, 56.99327
67.35952, 52.11064
69.32009, 47.19921
70.92311, 42.44355
72.34736, 37.77036
73.77031, 32.20377
75.19386, 27.04952
76.61640, 21.20803
77.86005, 15.36655
79.10532, 10.62463
80.34944, 5.10386
81.06029, 1.89677
