0.98252, 96.63846
3.16926, 97.00259
5.35585, 97.17006
7.54231, 97.18021
9.72877, 97.19035
11.91523, 97.20050
14.10169, 97.21065
16.28815, 97.22079
18.47462, 97.23094
20.66120, 97.39841
22.84810, 97.95920
25.03457, 97.96934
27.22147, 98.53013
29.40862, 99.40556
31.59558, 100.04501
33.78210, 100.13382
35.96857, 100.14397
38.15503, 100.15411
40.34149, 100.16426
42.52795, 100.17440
44.71441, 100.18455
46.90087, 100.19470
49.08734, 100.20484
51.27380, 100.21499
53.46026, 100.22513
55.47319, 100.23447
57.83318, 100.24543
60.01914, 99.62627
62.20473, 98.53514
64.38975, 96.73604
66.57452, 94.62229
68.75923, 92.42988
70.94344, 89.60817
72.88372, 85.54919
75.14789, 81.44678
77.12974, 78.74212
80.89202, 74.62980
83.49305, 72.24828
85.65716, 71.43658
87.81488, 73.48198
91.34174, 78.80807
93.77523, 83.95209
95.96527, 88.46568
97.87116, 92.05366
99.73755, 96.90007
