0.05537, 91.31126
0.70357, 81.70228
1.15502, 77.66088
1.57521, 74.18881
1.99725, 71.24876
2.51978, 68.51871
3.12581, 65.89366
3.78090, 63.03527
4.43643, 60.30189
5.34158, 57.63517
6.66191, 54.82957
8.23223, 52.19285
9.96980, 49.84109
11.79108, 47.65620
13.61340, 45.76829
15.43579, 43.90159
17.17334, 41.54488
18.66113, 39.08171
19.81636, 36.60979
20.72223, 34.14807
21.37899, 31.76803
21.95156, 29.08465
22.43944, 25.95403
22.92502, 22.16230
40.00000,
85.18840, 21.53299
86.77694, 24.12622
88.19908, 26.67997
89.53829, 29.29465
90.71139, 31.95137
91.88476, 34.68475
92.89146, 37.30202
93.81400, 39.62373
94.73803, 42.37556
95.57905, 45.16161
96.33736, 48.06602
96.92723, 50.34800
97.43432, 52.72953
