1.03076, 80.95535
2.42253, 74.50166
3.63255, 68.63118
4.84280, 63.04390
6.05282, 57.17343
7.38420, 51.16192
8.83752, 45.74096
10.16967, 40.69701
12.34990, 32.87908
14.16814, 28.09613
16.10806, 23.59187
18.04841, 19.61859
19.98891, 15.82230
21.93017, 12.99946
23.74981, 9.97378
25.78819, 7.07048
27.75461, 5.32739
29.69609, 2.77004
30.78847, 1.71317
40.00000,
83.26601, 5.04137
84.97090, 10.46014
87.78899, 19.17104
89.71915, 24.19894
91.42352, 28.95610
92.88548, 34.39059
95.05337, 41.58647
96.61258, 47.11581
97.88010, 52.43141
98.85682, 58.66601
99.59071, 65.04108
